Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Monoctonus_sp1_USNMENT01322621,20.719414,100,100,100
Prionyx_thomae_EX404,20.70712,100,100,100
Ceraphron_masneri_PSUC_FEM17531,20.682533,100,100,100
Dipara_sp_JRAS07460_0289,20.574351,100,77,98
Leptacis_sp_USNMENT01223928,20.50059,100,100,100
Perilampus_hyalinus_USNMENT01322083,20.483379,100,100,100
Chiloe_micropteron_JRAS07627_0189,20.416994,100,100,100
Aphanomerus_sp_USNMENT01109890,20.316188,100,100,100
Tamarixia_radiata_USNMENT01339650,20.252262,100,100,100
Prionyx_canadensis_BND831,20.239969,100,100,100
Liobracon_aquilonius_USNMENT01322616,20.188336,100,100,100
Heptamelus_dahlbomi_USNMENT01339629,20.003934,100,100,100
Exotela_sp2_USNMENT01322456,19.905586,100,100,100
Dendrocerus_aphidum_NCSU0016853,19.880999,100,100,100
Pentapleura_foveolata_USNMENT01322541,19.876082,100,75,97
Oligoneurus_sp1_USNMENT01322580,19.807238,100,100,100
Apanteles_sp4_USNMENT01322237,19.740854,100,100,100
Arge_humeralis_USNMENT01339627,19.72856,79,100,100
Cotesia_diacrisiae_USNMENT01322494,19.664634,100,100,100
Grotea_sp_BS_UCE_Ich367,19.649882,100,98,100
Chremylus_elaphus_USNMENT01322599,19.617919,100,86,100
Methoca_sp_EX570,19.512195,100,100,100
Aperileptus_sp_BS_UCE_Ich495,19.487608,62,100,100
Perilitus_rutilus_USNMENT01322571,19.25895,100,100,100
Colotrechnus_ignotus_USNMENT01322101,19.251574,100,28,73
Chorebus_KPBS_sp7_USNMENT01322422,19.057337,100,100,100
Chaenusa_americana_USNMENT01322482,19.045043,100,100,100
Chromeurytoma_sp_ANIC00037_0189,19.042585,97,90,96
Ceraphron_sp1_PA_PSUC_FEM10045052,19.027832,100,100,100
Pioscelus_borealis_USNMENT01322491,19.01308,100,99,100
Exasticolus_sp1_USNMENT01322476,18.934402,100,100,100
Andricus_lucidus_USNMENT01322256,18.924567,100,100,100
Leptocybe_invasa_USNMENT01339654,18.875393,100,100,100
Microgaster_sp1_USNMENT01322451,18.831137,100,100,100
Pompilidae_sp_USNMENT01339591,18.82622,100,100,100
Coccobius_sp1_USNMENT01231205,18.747541,100,97,99
Eunotus_acutatus_JRAS07602_1001,18.661487,100,84,98
Lytoxysta_brevipalpus_USNMENT01322157,18.614772,100,100,100
Lagynodes_crassicornis_PSUC_FEM13564,18.60002,100,100,100
Foutsia_philodendri_USNMENT01322394,18.587726,100,96,99
Nasonia_vitripennis_USNMENT01322105,18.494296,100,100,100
Andricus_quercusoperator_USNMENT01322298,18.464792,100,100,100
Microplitis_sp2_USNMENT01322587,18.415618,100,100,100
Zelandonota_sp_USNMENT01109898,18.400865,100,100,100
Schizoprymnus_sp2_USNMENT01322549,18.214005,100,100,100
Andricus_sp_USNMENT00877721,18.196794,100,100,100
Agonocryptus_physocnemis_BS_UCE_Ich001,18.073859,100,100,100
Cryptopimpla_quadrilineata_jocosa_BS_UCE_Ich343,18.029603,100,100,100
Ceraphron_sp2_PA_PSUC_FEM10045062,18.009933,100,100,99
Euderus_sp_JRAS07829_0189,17.874705,95,100,100
Euplectrus_sp_EX492,17.764064,100,100,100
Lissopimpla_sp_BS_UCE_Ich448,17.71489,100,100,90
Chorebus_posticus_USNMENT01322423,17.594414,100,100,100
Nanomerus_spinulus_USNMENT01197953,17.466562,100,100,100
Aspilota_sp2_USNMENT01322446,17.444434,100,100,75
Dendrocerus_acrossopteryx_UCFC0028895,17.365755,100,100,100
Pseudomasaris_vespoides_EX442,17.355921,100,100,100
Megischus_sp_USNMENT01322262,17.346086,100,91,85
Paraulax_quelensis_USNMENT01322268,17.33871,100,100,100
Atanycolus_sp_hicoriae_USNMENT01322499,17.304288,50,50,100
Podagrionella_sp_USNMENT01322086,17.274784,100,100,100
Sceliphron_caementarium_EX439,17.260031,100,100,100
Abia_lonicerae_USNMENT01322220,17.159225,100,100,100
Spalangia_sp_JRAS06352_0289_0289,17.014162,99,98,81
Axima_zabriskiei_USNMENT01322046,16.992034,100,100,100
Argochrysis_armilla_EX434,16.967447,100,100,92
Psilochalcis_brevialata_USNMENT01322195,16.928108,100,100,79
Trematopygodes_rufipectus_BS_UCE_Ich345,16.790421,100,100,100
Chartocerus_sp_JRAS07600_0201,16.71666,100,100,93
Erigorgus_sp_BS_UCE_Ich465,16.687156,100,100,100
Dryocosmus_rileypokei_USNMENT01322317,16.662569,86,86,100
Hybrizon_rileyi_BS_UCE_Ich316,16.652734,85,100,100
Triaspis_sp1_USNMENT01322475,16.436369,100,100,100
Ammophila_cybele_EX406,16.416699,100,100,100
Ganaspis_sp2_USNMENT01339603,16.411782,100,100,100
Proterops_sp_proteroptoides_USNMENT01322444,16.401947,100,100,99
