Species,TotalMiss
Chaenusa_quadriceps_USNMENT01322484 ,59.1421382
Chalybion_californicus_HPG12 ,53.5366784
Chlorion_aerarium_BND837 ,54.1360378
Chrysis_sp_EX561 ,43.3628184
Chyphotes_mellipes_HPG7 ,46.8461187
Chyphotes_sp_EX553 ,49.4197041
Cinetus_sp_USNMENT01322342 ,18.5748056
Conostigmus_abdominalis_PSUC_FEM17567 ,14.1390880
Conostigmus_crassicornis_PSUC_FEM13461 ,34.4380052
Coiba_jeffersoni_USNMENT01322487 ,23.2583499
Coelinius_robinae_USNMENT01322424 ,17.1320726
Coptera_sp_USNMENT01322289 ,44.0445326
Codrus_sp_USNMENT01322353 ,79.7414976
Coelocyboides_sp_USNMENT01322071 ,36.5777032
Colletes_dimidiatus_BND283 ,56.8308678
Colocistis_eremi_EX558 ,54.8444411
Cratospila_neocirce_USNMENT01322464 ,18.9393015
Creator_spissicornis_PSUC_FEM13530 ,31.5380509
Ctenocolletes_albomarginatus_BND1320 ,56.3588531
Ctenoplectra_rodhaini_BND984 ,55.4651517
Cynips_plumbea_USNMENT01322300 ,81.9185603
Dacnusa_KPBS_sp1_USNMENT01322427 ,30.2203752
Dasylabris_sp_EX559 ,53.3063901
Dasymutilla_sackenii_EX569 ,57.9037670
Dasypoda_visnaga_BND977 ,52.2022266
Conostigmus_Dendrocerus_fasciatipennis_NCSU43309 ,16.7576636
Deinodryinus_atriventris_EX475 ,61.3962178
Diplolepis_bicolor_USNMENT01322275 ,17.3829495
Digonogastra_eurygaster_USNMENT01322500 ,26.6501449
Diachasmimorpha_longicaudata_USNMENT01322503 ,30.1715724
Diastrophus_turgidus_USNMENT01322311 ,24.3030349
Dieunomia_nevadensis_BND1112 ,52.8404758
Dioxys_pomonae_BND1152 ,55.6878145
Disholcaspis_quercusmamma_EX579 ,59.8711301
Doryctes_erythromelas_USNMENT01322488 ,26.5860912
Dryocosmus_rileypokei_USNMENT01322317 ,28.2446241
Ecphylus_rohweri_USNMENT01322490 ,27.8099741
Prionyx_canadensis_BND831 ,61.8140918
Eiphosoma_sp_BS_UCE_Ich190 ,17.2350160
Embolemidae_sp_EX483 ,55.9005643
Entomacis_sp_EX486 ,59.3091353
Ephuta_rufisquamis_EX573 ,54.7483605
Epyris_sp1_EX562 ,56.6928473
Ericrocis_lata_BND1100 ,56.0622236
Eschatocerus_niger_USNMENT01322270 ,25.3530578
Eurytoma_euphorbiae_USNMENT01322362 ,47.4775050
Eulaema_meriana_ML179 ,59.3640384
Euryglossa_ephippiata_BND691 ,51.0561232
Exasticolus_sp1_USNMENT01322476 ,26.6646332
Exotela_sp2_USNMENT01322456 ,29.0780845
Exallonyx_sp_USNMENT01322352 ,57.5446088
Exoneura_bicolor_BND682 ,47.7886228
Fidiobia_sp_USNMENT01223772 ,38.0333994
Foutsia_philodendri_USNMENT01322394 ,24.7872503
Gastrotrypes_sp_USNMENT01223878 ,31.0675614
Gnamptodon_sp1_USNMENT01322440 ,20.5048040
Goniozus_sp1_EX555 ,52.6368766
Halictus_ligatus_sayi_EX395 ,54.7613238
Heriades_leavitti_EX394 ,53.7288394
Heterogyna_nocticola_BND1290 ,54.3419247
Hypomicrogaster_zonaria_USNMENT01322460 ,34.9931371
Hylaeus_elegans_BND1310 ,54.0117432
Iphitrachelus_sp_USNMENT01335755 ,43.2758884
Isocolcus_scabiosae_USNMENT01322273 ,15.1387830
Ismarus_sp_USNMENT01197715 ,80.9798688
Hexacladia_sp1_USNMENT01231129 ,40.5368309
Anagyrus_sp1_USNMENT01231185 ,30.9562300
Acerophagus_sp1_USNMENT01231200 ,20.7739820
Centrodora_sp1_USNMENT01231207 ,18.8470337
Pleistodontes_sp1_JRAS00997_189 ,59.8711301
Halticoptera_patellana_JRAS01314_1701 ,59.3571755
Chalcimerus_borceai_JRAS01317_301 ,76.3268263
Courtella_hladikae_JRAS01934_189 ,60.4819277
Blastophaga_psenes_JRAS02767_189 ,64.8375782
Orasema_sp_JRAS03331_101 ,70.2615525
Philotrypesis_sp_JRAS05463_289 ,58.6708861
Glyphomerus_stigma_JRAS05562_599 ,56.5868537
Idarnes_incerta_JRAS06107_389 ,71.7889279
Tetrapus_sp1_JRAS06126_189 ,61.1148391
Spalangia_sp_JRAS06352_0289 ,61.6585329
Ormyrus_salmaticus_JRAS06480_1789 ,57.2700930
Neosycophila_sp_JRAS06679_289 ,59.3800519
Neanastatus_sp_JRAS07313_489 ,59.5089218
Cleonymus_sp_JRAS07458_689 ,58.7456154
Dipara_sp_JRAS07460_289 ,63.1142291
Herbertia_sp_JRAS07575_189 ,58.9110874
Cea_pulicaris_JRAS07600_189 ,58.9515022
Chartocerus_sp_JRAS07600_201 ,62.5461339
Mymaromma_anomalum_JRAS07601_189 ,73.2835138
Eupelmus_linearis_JRAS07601_289 ,59.1429007
Eunotus_acutatus_JRAS07602_1001 ,62.7016928
Polistomorpha_fasciata_JRAS07624_301 ,55.4254995
Chiloe_micropteron_JRAS07627_189 ,65.3195059
Promuscidea_sp_JRAS07754_101 ,57.5606222
Monacon_sp_JRAS07775_189 ,58.2980021
Signiphora_sp_JRAS07789_189 ,75.9501296
Oglobinisca_sp_JRAS07790_201 ,56.1514412
Clytina_giraudi_JRAS07820_189 ,58.9865792
Eretmocerus_eremicus_JSTR00476_189 ,68.4017081
