Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Pseudoneoponera_sp_FMNHINS0003145239,15.898834,75,69,100
Ochetomyrmex_semipolitus_CUIC000115667,15.823527,100,45,41
Calomyrmex_sp_FMNHINS0003145024,15.807632,100,100,100
Myrmicaria_natalensis_FMNHINS0003165599,15.76177,100,76,79
Simopelta_pergandei_FMNHINS0003145538,15.703922,92,92,100
Echinopla_australis_FMNHINS0003471654,15.660927,100,100,100
Trichomyrmex_criniceps_CASENT0106263,15.608291,75,74,48
Formica_occulta_FMNHINS0003471213,15.568943,100,100,100
Orectognathus_nanus_FMNHINS0000105004,15.554872,100,99,25
Ectatomma_tuberculatum_FMNHINS0003165706,15.488425,100,100,100
Crematogaster_ashmeadi_FMNHINS0003145329,15.487122,100,50,48
Sericomyrmex_opacus_FMNHINS0003145561,15.431359,51,100,100
Adlerzia_froggatti_CASENT0227591,15.40009,100,100,48
Papyrius_nitidus_FMNHINS0003145144,15.374293,100,100,100
Solenopsis_invicta_FMNHINS0003144951,15.331297,76,79,100
Bothroponera_sp_FMNHINS0003471536,15.320353,75,100,44
Pseudoponera_sp_FMNHINS0003145536,15.300289,100,50,100
Messor_bouvieri_RA0347atMCZ,15.116061,100,100,50
Myrmecocystus_depilis_FMNHINS0003145369,15.050135,100,100,100
Apterostigma_sp_FMNHINS0003145668,15.035543,100,100,100
Proatta_butteli_FMNHINS0003471779,14.975349,100,64,44
Diplomorium_longipenne_CASENT0217046,14.931833,100,71,49
Myrmecina_americana_FMNHINS0000105185,14.879978,79,99,24
Procryptocerus_pictipes_FMNHINS0003165677,14.787213,100,43,43
Romblonella_scrobifera_CASENT0106224,14.691842,85,100,100
Cephalotes_varians_FMNHINS0003144775,14.679074,100,43,43
Brachyponera_sennaarensis_FMNHINS0003165604,14.66839,75,100,44
Psalidomyrmex_sp_CUIC000115672,14.65041,100,100,66
Lasius_americanus_FMNHINS0000105181,14.64572,100,100,100
Harpagoxenus_sublaevis_CASENT0106289,14.632952,100,100,100
Myrmicocrypta_sp_FMNHINS0003145508,14.625655,100,100,100
Phrynoponera_sp_CUIC000115670,14.610802,75,69,100
Patagonomyrmex_angustus_RA1138atMCZ,14.600379,49,100,99
Pachycondyla_impressa_FMNHINS0003471268,14.510741,100,100,100
Acropyga_sp_FMNHINS0003471605,14.441428,75,76,76
Stegomyrmex_manni_CASENT0633333,14.339021,100,100,100
Vitsika_suspicax_CASENT0068044,14.255636,100,99,50
Myrmica_wheeleri_FMNHINS0003471188,14.193619,100,99,100
Liomyrmex_gestroi_CASENT0106198,14.16235,100,100,74
Strongylognathus_testaceus_CASENT0106266,14.040921,100,52,75
Paratopula_th01_CASENT0010838,14.036491,100,100,38
Rogeria_belti_CASENT0633235,13.976037,100,100,100
Huberia_brounii_CASENT0106136,13.830896,100,100,74
Trachymyrmex_septentrionalis_FMNHINS0003145472,13.788943,88,100,100
Meranoplus_sp_FMNHINS0003145090,13.782168,100,50,48
Malagidris_jugum_CASENT0494278,13.755589,100,99,50
Strumigenys_elongata_FMNHINS0003145576,13.693833,100,100,41
Anochetus_mayri_FMNHINS0003165063,13.645887,100,100,66
Daceton_armigerum_FMNHINS0003165241,13.632597,25,49,51
Mayaponera_constricta_CASENT0636005,13.61566,100,90,92
Vombisidris_bilongrudi_CASENT0200241,13.548431,49,100,100
Rhytidoponera_metallica_FMNHINS0003145208,13.533839,100,100,100
Temnothorax_torrei_FMNHINS0003471456,13.454363,100,100,100
Centromyrmex_brachycola_CUIC000008876,13.423875,100,66,98
Terataner_mg02_CASENT0494349,13.307137,72,52,51
Acanthoponera_minor_CASENT0633283,13.297495,100,100,100
Xenomyrmex_floridanus_FMNHINS0003145004,13.255282,56,52,51
Neoponera_commutata_FMNHINS0003471648,13.076005,100,100,100
Gauromyrmex_acanthinus_CASENT0126225,12.96057,49,100,100
Rasopone_ferruginea_CASENT0609807,12.087637,100,100,90
